id,kode_provinsi,nama_provinsi,persentase_penduduk_miskin,satuan,tahun,id_gini,kode_provinsi_gini,semester,gini_ratio,satuan_gini,id_tpt,kode_provinsi_tpt,daerah,tingkat_penganggur_terbuka,satuan_tpt,id_ipm,kode_provinsi_ipm,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,indeks_pembangunan_manusia,satuan_ipm,kemiskinan_tahun_depan,rata_rata_inflasi_tahunan
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,1,32,3201,KABUPATEN BOGOR,LAKI-LAKI,74.53,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,2,32,3201,KABUPATEN BOGOR,PEREMPUAN,66.37,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,3,32,3202,KABUPATEN SUKABUMI,LAKI-LAKI,71.57,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,4,32,3202,KABUPATEN SUKABUMI,PEREMPUAN,62.23,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,5,32,3203,KABUPATEN CIANJUR,LAKI-LAKI,69.24,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,6,32,3203,KABUPATEN CIANJUR,PEREMPUAN,57.97,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,7,32,3204,KABUPATEN BANDUNG,LAKI-LAKI,74.91,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,8,32,3204,KABUPATEN BANDUNG,PEREMPUAN,70.11,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,9,32,3205,KABUPATEN GARUT,LAKI-LAKI,69.89,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,10,32,3205,KABUPATEN GARUT,PEREMPUAN,57.6,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,11,32,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,69.71,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,12,32,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,59.94,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,13,32,3207,KABUPATEN CIAMIS,LAKI-LAKI,75.43,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,14,32,3207,KABUPATEN CIAMIS,PEREMPUAN,64.87,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,15,32,3208,KABUPATEN KUNINGAN,LAKI-LAKI,74.0,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,16,32,3208,KABUPATEN KUNINGAN,PEREMPUAN,64.1,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,17,32,3209,KABUPATEN CIREBON,LAKI-LAKI,72.97,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,18,32,3209,KABUPATEN CIREBON,PEREMPUAN,60.51,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,19,32,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,71.29,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,20,32,3210,KABUPATEN MAJALENGKA,PEREMPUAN,61.26,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,21,32,3211,KABUPATEN SUMEDANG,LAKI-LAKI,74.36,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,22,32,3211,KABUPATEN SUMEDANG,PEREMPUAN,70.55,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,23,32,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,70.65,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,24,32,3212,KABUPATEN INDRAMAYU,PEREMPUAN,62.15,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,25,32,3213,KABUPATEN SUBANG,LAKI-LAKI,72.11,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,26,32,3213,KABUPATEN SUBANG,PEREMPUAN,65.31,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,27,32,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,74.65,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,28,32,3214,KABUPATEN PURWAKARTA,PEREMPUAN,65.09,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,29,32,3215,KABUPATEN KARAWANG,LAKI-LAKI,73.6,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,30,32,3215,KABUPATEN KARAWANG,PEREMPUAN,66.57,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,31,32,3216,KABUPATEN BEKASI,LAKI-LAKI,78.49,POIN,7.45,"18,575"
316,32,JAWA BARAT,7.45,PERSEN,2018,7,32,SEMESTER I,407,POIN,15,32,PERKOTAAN,8.23,PERSEN,32,32,3216,KABUPATEN BEKASI,PEREMPUAN,69.29,POIN,7.45,"18,575"
